Fichier, Temps d'execution_AlgoNaif (ms), Temps d'execution_Welzl (ms)
test-238.points, 81.30, 0.14
test-239.points, 88.35, 0.31
test-24.points, 62.28, 0.27
test-240.points, 74.30, 0.32
test-241.points, 64.77, 0.17
test-242.points, 59.93, 0.17
test-243.points, 76.91, 0.28
test-244.points, 93.32, 0.11
test-245.points, 76.47, 0.22
test-246.points, 82.85, 0.32
test-247.points, 73.16, 0.34
test-248.points, 69.90, 0.45
test-249.points, 80.67, 0.25
test-25.points, 76.26, 0.29
test-250.points, 82.39, 0.30
test-251.points, 75.28, 0.19
test-252.points, 75.14, 0.46
test-253.points, 83.36, 0.14
test-254.points, 81.08, 0.26
test-255.points, 0.18, 0.34
test-256.points, 68.48, 0.18
test-257.points, 77.01, 0.30
test-258.points, 78.24, 0.34
test-259.points, 73.92, 0.15
test-26.points, 66.46, 0.14
test-260.points, 69.57, 0.13
test-261.points, 70.46, 0.29
test-262.points, 72.15, 0.22
test-263.points, 78.23, 0.32
test-264.points, 88.48, 0.18
test-265.points, 81.67, 0.38
test-266.points, 79.47, 0.26
test-267.points, 63.61, 0.31
test-268.points, 84.72, 0.24
test-269.points, 58.99, 0.22
test-27.points, 76.64, 0.20
test-270.points, 82.63, 0.25
test-271.points, 88.28, 0.41
test-272.points, 59.85, 0.26
test-273.points, 72.22, 0.07
test-274.points, 65.46, 0.11
test-275.points, 69.50, 0.14
test-276.points, 60.84, 0.35
test-277.points, 62.53, 0.21
test-278.points, 60.12, 0.26
test-279.points, 72.34, 0.54
test-28.points, 87.85, 0.21
test-280.points, 83.12, 0.13
test-281.points, 84.71, 0.31
test-282.points, 67.17, 0.17
test-283.points, 67.89, 0.20
test-284.points, 59.13, 0.35
test-285.points, 81.51, 0.45
test-286.points, 74.73, 0.39
test-287.points, 63.12, 0.22
test-288.points, 77.63, 0.33
test-289.points, 74.49, 0.39
test-29.points, 77.17, 0.25
test-290.points, 65.16, 0.33
test-291.points, 78.15, 0.30
test-292.points, 70.05, 0.34
test-293.points, 81.64, 0.32
test-294.points, 91.00, 0.28
test-295.points, 61.27, 0.29
test-296.points, 70.14, 0.23
test-297.points, 67.86, 0.09
test-298.points, 64.24, 0.16
test-299.points, 78.47, 0.19
test-3.points, 80.30, 0.38
test-30.points, 63.34, 0.22
test-300.points, 62.46, 0.18
test-301.points, 78.27, 0.29
test-302.points, 84.11, 0.35
test-303.points, 63.59, 0.22
test-304.points, 70.36, 0.31
test-305.points, 68.20, 0.17
test-306.points, 76.59, 0.36
test-307.points, 68.97, 0.19
test-308.points, 79.46, 0.13
test-309.points, 76.31, 0.31
test-31.points, 70.40, 0.27
test-310.points, 65.96, 0.18
test-311.points, 86.49, 0.14
test-312.points, 76.97, 0.25
test-313.points, 75.40, 0.21
test-314.points, 85.93, 0.08
test-315.points, 68.09, 0.13
test-316.points, 59.17, 0.26
test-317.points, 62.91, 0.09
test-318.points, 92.66, 1.55
test-319.points, 67.49, 0.16
test-32.points, 72.53, 0.11
test-320.points, 62.42, 0.31
test-321.points, 81.62, 0.11
test-322.points, 85.64, 0.24
test-323.points, 80.68, 0.16
test-324.points, 75.16, 0.26
test-325.points, 64.32, 0.29
test-326.points, 76.01, 0.21
test-327.points, 67.77, 0.29
test-328.points, 74.77, 0.27
test-329.points, 87.94, 0.16
test-33.points, 70.26, 0.24
test-330.points, 79.86, 0.18
test-331.points, 81.12, 0.10
test-332.points, 67.58, 0.15
test-333.points, 66.72, 0.37
test-334.points, 93.50, 0.25
test-335.points, 79.97, 0.33
test-336.points, 75.48, 0.23
test-337.points, 61.09, 0.11
test-338.points, 60.22, 0.14
test-339.points, 74.61, 0.21
test-34.points, 68.45, 0.22
test-340.points, 77.36, 0.13
test-341.points, 62.92, 0.26
test-342.points, 74.67, 0.14
test-343.points, 79.28, 0.36
test-344.points, 66.95, 0.11
test-345.points, 74.81, 0.15
test-346.points, 76.81, 0.22
test-347.points, 76.66, 0.19
test-348.points, 79.30, 0.25
test-349.points, 71.29, 0.23
test-35.points, 58.82, 0.20
test-350.points, 64.59, 0.50
test-351.points, 70.66, 0.27
test-352.points, 83.76, 0.29
test-353.points, 80.56, 0.23
test-354.points, 81.58, 0.27
test-355.points, 62.80, 0.28
test-356.points, 63.99, 0.17
test-357.points, 74.82, 0.24
test-358.points, 92.50, 0.31
test-359.points, 83.08, 0.16
test-36.points, 89.36, 0.29
test-360.points, 71.26, 0.15
test-361.points, 85.94, 0.14
test-362.points, 93.71, 0.35
test-363.points, 63.85, 0.21
test-364.points, 66.22, 0.26
test-365.points, 65.97, 0.22
test-366.points, 76.41, 0.30
test-367.points, 63.33, 0.37
test-368.points, 76.14, 0.34
test-369.points, 78.80, 0.42
test-37.points, 82.91, 0.44
test-370.points, 69.97, 0.43
test-371.points, 60.10, 0.18
test-372.points, 81.27, 0.11
test-373.points, 85.28, 0.32
test-374.points, 93.03, 0.18
test-375.points, 71.90, 0.19
test-376.points, 84.27, 0.13
test-377.points, 72.68, 0.39
test-378.points, 81.75, 0.10
test-379.points, 90.10, 0.32
test-38.points, 86.65, 0.21
test-380.points, 103.82, 0.17
test-381.points, 63.38, 0.57
test-382.points, 71.97, 0.15
test-383.points, 73.95, 0.29
test-384.points, 71.26, 0.30
test-385.points, 69.25, 0.21
test-386.points, 87.87, 0.16
test-387.points, 78.25, 0.25
test-388.points, 69.74, 0.16
test-389.points, 61.45, 0.27
test-39.points, 86.26, 0.16
test-390.points, 100.08, 0.36
test-391.points, 66.66, 0.31
test-392.points, 73.81, 0.22
test-393.points, 77.80, 0.19
test-394.points, 61.63, 0.42
test-395.points, 88.36, 0.35
test-396.points, 78.99, 0.11
test-397.points, 70.50, 0.24
test-398.points, 66.24, 0.48
test-399.points, 74.86, 0.15
test-4.points, 96.79, 0.13
test-40.points, 93.91, 0.15
test-400.points, 84.30, 0.32
test-401.points, 83.90, 0.27
test-402.points, 68.02, 0.21
test-403.points, 64.31, 0.23
test-404.points, 79.96, 0.40
test-405.points, 74.17, 0.10
test-406.points, 74.56, 0.52
test-407.points, 72.43, 0.16
test-408.points, 78.95, 0.18
test-409.points, 70.52, 0.31
test-41.points, 67.64, 0.33
test-410.points, 63.81, 0.31
test-411.points, 60.92, 0.10
test-412.points, 68.71, 0.54
test-413.points, 64.75, 0.24
test-414.points, 84.53, 0.17
test-415.points, 69.54, 0.22
test-416.points, 79.94, 0.11
test-417.points, 70.43, 0.14
test-418.points, 66.81, 0.23
test-419.points, 77.89, 0.37
test-42.points, 72.16, 0.31
test-420.points, 67.22, 0.24
test-421.points, 82.56, 0.36
test-422.points, 81.65, 0.32
test-423.points, 65.98, 0.22
test-424.points, 79.98, 0.13
test-425.points, 64.56, 0.29
test-426.points, 87.02, 0.16
test-427.points, 70.56, 0.18
test-428.points, 59.03, 0.22
test-429.points, 69.40, 0.20
test-43.points, 64.65, 0.15
test-430.points, 59.22, 0.14
test-431.points, 82.32, 0.26
test-432.points, 0.40, 0.15
test-433.points, 60.30, 0.30
test-434.points, 105.48, 0.31
test-435.points, 73.72, 0.26
test-436.points, 0.26, 0.19
test-437.points, 64.29, 0.24
test-438.points, 57.69, 0.25
test-439.points, 67.15, 0.47
test-44.points, 67.97, 0.24
test-440.points, 76.15, 0.18
test-441.points, 66.58, 0.41
test-442.points, 74.58, 0.30
test-443.points, 79.44, 0.16
test-444.points, 79.69, 0.35
test-445.points, 73.16, 0.18
test-446.points, 84.36, 0.12
test-447.points, 60.21, 0.43
test-448.points, 66.55, 0.32
test-449.points, 82.76, 0.21
test-45.points, 69.56, 0.14
test-450.points, 63.46, 0.44
test-451.points, 71.33, 0.25
test-452.points, 82.27, 0.18
test-453.points, 86.38, 0.28
test-454.points, 74.41, 0.26
test-455.points, 59.28, 0.19
test-456.points, 79.55, 0.47
test-457.points, 63.52, 0.26
test-458.points, 81.92, 0.17
test-459.points, 0.06, 0.20
test-46.points, 97.45, 0.26
test-460.points, 61.48, 0.25
test-461.points, 68.61, 0.14
test-462.points, 72.98, 0.20
test-463.points, 89.56, 0.34
test-464.points, 60.35, 0.14
test-465.points, 63.63, 0.18
test-466.points, 78.54, 0.12
test-467.points, 71.45, 0.15
test-468.points, 84.05, 0.21
test-469.points, 80.52, 0.31
test-47.points, 79.06, 0.19
test-470.points, 92.15, 0.23
test-471.points, 72.10, 0.29
test-472.points, 91.16, 0.37
test-473.points, 72.04, 0.16
test-474.points, 86.38, 0.11
test-475.points, 86.53, 0.23
test-476.points, 76.80, 0.24
test-477.points, 66.28, 0.49
test-478.points, 69.49, 0.32
test-479.points, 83.14, 0.38
test-48.points, 79.56, 0.15
test-480.points, 82.04, 0.06
test-481.points, 72.64, 0.36
test-482.points, 64.83, 0.29
test-483.points, 84.50, 0.09
test-484.points, 75.57, 0.57
test-485.points, 81.62, 0.25
test-486.points, 87.47, 0.17
test-487.points, 77.99, 0.37
test-488.points, 79.31, 0.23
test-489.points, 61.65, 0.27
test-49.points, 68.37, 0.15
test-490.points, 79.00, 0.24
test-491.points, 63.42, 0.21
test-492.points, 87.10, 0.47
test-493.points, 60.91, 0.17
test-494.points, 81.02, 1.45
test-495.points, 67.07, 0.23
test-496.points, 79.29, 0.17
test-497.points, 67.21, 0.26
test-498.points, 68.95, 0.34
test-499.points, 58.08, 0.41
test-5.points, 67.02, 0.14
test-50.points, 82.79, 0.19
test-500.points, 73.37, 0.20
test-501.points, 95.52, 0.37
test-502.points, 58.67, 0.29
test-503.points, 77.01, 0.33
test-504.points, 89.58, 0.22
test-505.points, 78.06, 0.18
test-506.points, 85.92, 0.26
test-507.points, 74.21, 0.26
test-508.points, 63.10, 0.23
test-509.points, 89.41, 0.20
test-51.points, 74.29, 0.25
test-510.points, 57.65, 0.19
test-511.points, 65.80, 0.28
test-512.points, 85.32, 0.23
test-513.points, 57.25, 0.20
test-514.points, 69.96, 0.33
test-515.points, 71.60, 0.38
test-516.points, 74.85, 0.14
test-517.points, 70.88, 0.37
test-518.points, 69.81, 0.19
test-519.points, 71.01, 0.16
test-52.points, 63.70, 0.17
test-520.points, 86.30, 0.25
test-521.points, 70.36, 0.10
test-522.points, 79.27, 0.38
test-523.points, 88.05, 0.13
test-524.points, 0.09, 0.22
test-525.points, 79.56, 0.30
test-526.points, 65.02, 0.50
test-527.points, 79.03, 0.20
test-528.points, 69.19, 0.31
test-529.points, 77.25, 0.21
test-53.points, 57.17, 0.29
test-530.points, 0.23, 0.07
test-531.points, 71.13, 0.27
test-532.points, 78.68, 0.22
test-533.points, 71.00, 0.35
test-534.points, 75.53, 0.42
test-535.points, 69.58, 0.32
test-536.points, 66.70, 0.29
test-537.points, 79.63, 0.31
test-538.points, 64.39, 0.23
test-539.points, 89.35, 0.15
test-54.points, 58.61, 0.15
test-540.points, 76.76, 0.31
test-541.points, 60.96, 0.23
test-542.points, 85.53, 0.26
test-543.points, 82.98, 0.09
test-544.points, 72.71, 0.24
test-545.points, 74.60, 0.31
test-546.points, 80.07, 0.18
test-547.points, 69.35, 0.34
test-548.points, 64.73, 0.32
test-549.points, 85.85, 0.10
test-55.points, 59.12, 0.44
test-550.points, 66.45, 0.37
test-551.points, 70.99, 0.43
test-552.points, 84.26, 0.21
test-553.points, 70.41, 0.10
test-554.points, 92.43, 0.22
test-555.points, 78.03, 0.35
test-556.points, 76.84, 0.29
test-557.points, 74.48, 0.26
test-558.points, 59.81, 0.27
test-559.points, 84.96, 0.47
test-56.points, 95.32, 0.25
test-560.points, 77.55, 0.23
test-561.points, 66.76, 0.20
test-562.points, 71.41, 0.21
test-563.points, 60.21, 0.36
test-564.points, 74.99, 0.21
test-565.points, 85.62, 0.18
test-566.points, 74.15, 0.12
test-567.points, 82.55, 0.10
test-568.points, 61.98, 0.20
test-569.points, 70.71, 0.52
test-57.points, 69.60, 0.31
test-570.points, 86.24, 0.29
test-571.points, 58.81, 0.36
test-572.points, 61.32, 0.26
test-573.points, 80.69, 0.19
test-574.points, 69.08, 0.52
test-575.points, 78.23, 0.07
test-576.points, 85.06, 0.21
test-577.points, 81.85, 0.33
test-578.points, 59.33, 0.26
test-579.points, 59.81, 0.26
test-58.points, 77.70, 0.27
test-580.points, 86.73, 0.37
test-581.points, 83.89, 0.14
test-582.points, 68.72, 0.15
test-583.points, 76.59, 0.36
test-584.points, 60.92, 0.27
test-585.points, 88.88, 0.17
test-586.points, 82.33, 0.48
test-587.points, 85.05, 0.29
test-588.points, 84.07, 0.26
test-589.points, 85.85, 0.22
test-59.points, 94.33, 0.21
test-590.points, 81.87, 0.29
test-591.points, 75.14, 0.14
test-592.points, 95.59, 0.40
test-593.points, 74.35, 0.37
test-594.points, 60.95, 0.32
test-595.points, 78.59, 0.41
test-596.points, 89.10, 0.13
test-597.points, 77.42, 0.35
test-598.points, 0.23, 0.46
test-599.points, 88.29, 0.56
test-6.points, 0.44, 0.20
test-60.points, 68.14, 0.20
test-600.points, 74.32, 0.25
test-601.points, 63.81, 0.36
test-602.points, 94.62, 0.29
test-603.points, 59.88, 0.31
test-604.points, 72.80, 0.16
test-605.points, 71.47, 0.24
test-606.points, 69.01, 0.22
test-607.points, 77.23, 0.26
test-608.points, 68.75, 0.12
test-609.points, 79.79, 0.25
test-61.points, 70.04, 0.24
test-610.points, 78.45, 0.16
test-611.points, 59.18, 0.54
test-612.points, 63.95, 0.40
test-613.points, 73.09, 0.25
test-614.points, 83.11, 0.46
test-615.points, 64.93, 0.10
test-616.points, 89.68, 0.32
test-617.points, 0.04, 0.12
test-618.points, 79.93, 0.18
test-619.points, 64.55, 0.21
test-62.points, 0.13, 0.31
test-620.points, 70.73, 0.32
test-621.points, 76.50, 0.17
test-622.points, 67.51, 0.10
test-623.points, 86.54, 0.08
test-624.points, 74.06, 0.50
test-625.points, 72.02, 0.39
test-626.points, 68.36, 0.22
test-627.points, 57.61, 0.16
test-628.points, 64.94, 0.38
test-629.points, 77.24, 0.15
test-63.points, 71.70, 0.16
test-630.points, 69.98, 0.33
test-631.points, 61.78, 0.16
test-632.points, 90.30, 0.10
test-633.points, 61.62, 0.26
test-634.points, 77.66, 0.29
test-635.points, 81.47, 0.08
test-636.points, 89.09, 0.15
test-637.points, 75.99, 0.14
test-638.points, 75.05, 0.33
test-639.points, 79.46, 0.14
test-64.points, 62.02, 0.24
test-640.points, 72.76, 0.18
test-641.points, 71.32, 0.23
test-642.points, 67.08, 0.32
test-643.points, 67.19, 0.31
test-644.points, 69.52, 0.30
test-645.points, 70.63, 0.18
test-646.points, 62.41, 0.22
test-647.points, 75.35, 0.25
test-648.points, 92.08, 0.34
test-649.points, 0.38, 0.20
test-65.points, 72.82, 0.25
test-650.points, 69.37, 0.11
test-651.points, 94.16, 0.11
test-652.points, 72.80, 0.22
test-653.points, 69.74, 0.16
test-654.points, 78.09, 0.16
test-655.points, 65.84, 0.18
test-656.points, 80.01, 0.33
test-657.points, 70.19, 0.25
test-658.points, 76.29, 0.25
test-659.points, 61.18, 0.29
test-66.points, 88.02, 0.19
test-660.points, 73.49, 0.19
test-661.points, 73.35, 0.29
test-662.points, 69.14, 0.30
test-663.points, 79.24, 0.11
test-664.points, 83.30, 0.29
test-665.points, 61.05, 0.21
test-666.points, 69.08, 0.36
test-667.points, 84.07, 0.15
test-668.points, 96.17, 0.27
test-669.points, 64.97, 0.46
test-67.points, 81.40, 0.29
test-670.points, 78.83, 0.18
test-671.points, 61.22, 0.33
test-672.points, 69.33, 0.21
test-673.points, 60.38, 0.38
test-674.points, 74.50, 0.34
test-675.points, 65.64, 0.17
test-676.points, 73.48, 0.44
test-677.points, 67.72, 0.15
test-678.points, 87.66, 0.51
test-679.points, 60.61, 0.34
test-68.points, 0.02, 0.17
test-680.points, 68.33, 0.27
test-681.points, 73.85, 0.14
test-682.points, 0.07, 0.33
test-683.points, 58.07, 0.41
test-684.points, 81.07, 0.20
test-685.points, 84.67, 0.19
test-686.points, 64.88, 0.22
test-687.points, 70.85, 0.11
test-688.points, 75.49, 0.17
test-689.points, 57.07, 0.30
test-69.points, 70.99, 0.33
test-690.points, 80.37, 0.32
test-691.points, 98.36, 0.39
test-692.points, 73.07, 0.36
test-693.points, 79.86, 0.08
test-694.points, 72.47, 0.24
test-695.points, 66.26, 0.17
test-696.points, 84.82, 0.40
test-697.points, 82.13, 0.36
test-698.points, 61.37, 0.09
test-699.points, 58.10, 0.21
test-7.points, 79.45, 0.20
test-70.points, 86.00, 0.37
test-700.points, 83.06, 0.16
test-701.points, 84.21, 0.26
test-702.points, 60.60, 0.23
test-703.points, 71.42, 0.17
test-704.points, 74.59, 0.08
test-705.points, 87.49, 0.34
test-706.points, 78.90, 0.22
test-707.points, 73.93, 0.35
test-708.points, 61.26, 0.15
test-709.points, 63.24, 0.18
test-71.points, 82.38, 0.15
test-710.points, 59.22, 0.29
test-711.points, 84.17, 0.14
test-712.points, 81.67, 0.12
test-713.points, 77.55, 0.28
test-714.points, 78.83, 0.53
test-715.points, 80.78, 0.19
test-716.points, 83.08, 0.30
test-717.points, 58.32, 0.16
test-718.points, 70.94, 0.23
test-719.points, 83.24, 0.32
test-72.points, 74.15, 0.17
test-720.points, 94.18, 0.37
test-721.points, 59.92, 0.29
test-722.points, 67.15, 0.14
test-723.points, 74.84, 0.35
test-724.points, 67.99, 0.46
test-725.points, 0.23, 0.18
test-726.points, 75.03, 0.31
test-727.points, 77.34, 0.18
test-728.points, 64.19, 0.37
test-729.points, 71.14, 0.13
test-73.points, 88.63, 0.34
test-730.points, 60.15, 0.25
test-731.points, 71.46, 0.37
test-732.points, 72.67, 0.20
test-733.points, 75.03, 0.43
test-734.points, 67.31, 0.38
test-735.points, 75.35, 0.14
test-736.points, 66.31, 0.11
test-737.points, 61.05, 0.16
test-738.points, 71.60, 0.16
test-739.points, 72.41, 0.21
test-74.points, 64.53, 0.19
test-740.points, 69.13, 0.26
test-741.points, 89.76, 0.26
test-742.points, 80.14, 0.19
test-743.points, 93.61, 0.53
test-744.points, 62.72, 0.25
test-745.points, 73.28, 0.15
test-746.points, 0.05, 0.06
test-747.points, 89.63, 0.21
test-748.points, 86.48, 0.11
test-749.points, 79.89, 0.13
test-75.points, 72.50, 0.33
test-750.points, 62.01, 0.31
test-751.points, 75.42, 0.22
test-752.points, 63.23, 0.21
test-753.points, 60.33, 0.14
test-754.points, 68.50, 0.34
test-755.points, 81.52, 0.49
test-756.points, 69.36, 0.14
test-757.points, 65.46, 0.40
test-758.points, 71.35, 0.16
test-759.points, 83.88, 0.18
test-76.points, 90.09, 0.25
test-760.points, 87.04, 0.24
test-761.points, 67.81, 0.28
test-762.points, 78.61, 0.22
test-763.points, 57.69, 0.15
test-764.points, 68.75, 0.40
test-765.points, 65.57, 0.21
test-766.points, 90.98, 0.23
test-767.points, 69.82, 0.28
test-768.points, 64.68, 0.26
test-769.points, 74.17, 0.08
test-77.points, 73.56, 0.14
test-770.points, 58.56, 0.32
test-771.points, 75.73, 0.27
test-772.points, 95.16, 0.18
test-773.points, 0.12, 0.24
test-774.points, 88.05, 0.12
test-775.points, 75.00, 0.29
test-776.points, 96.25, 0.28
test-777.points, 63.18, 0.12
test-778.points, 64.42, 0.29
test-779.points, 69.60, 0.22
test-78.points, 79.31, 0.19
test-780.points, 68.12, 0.16
test-781.points, 0.29, 0.12
test-782.points, 57.86, 0.17
test-783.points, 92.08, 0.43
test-784.points, 72.99, 0.13
test-785.points, 98.17, 0.31
test-786.points, 74.02, 0.30
test-787.points, 58.24, 0.16
test-788.points, 73.44, 0.26
test-789.points, 64.31, 0.12
test-79.points, 74.96, 0.21
test-790.points, 63.62, 0.33
test-791.points, 66.09, 0.22
test-792.points, 61.24, 0.34
test-793.points, 62.12, 0.24
test-794.points, 84.90, 0.30
test-795.points, 0.49, 0.20
test-796.points, 64.51, 0.16
test-797.points, 94.19, 0.37
test-798.points, 76.39, 0.17
test-799.points, 71.90, 0.22
test-8.points, 84.21, 0.31
test-80.points, 0.01, 0.22
test-800.points, 73.31, 0.38
test-801.points, 89.33, 0.29
test-802.points, 65.78, 0.16
test-803.points, 76.92, 0.25
test-804.points, 91.42, 0.15
test-805.points, 70.69, 0.11
test-806.points, 58.37, 0.26
test-807.points, 69.93, 0.20
test-808.points, 63.53, 0.29
test-809.points, 86.14, 0.16
test-81.points, 76.00, 0.25
test-810.points, 62.81, 0.34
test-811.points, 85.73, 0.21
test-812.points, 89.99, 0.33
test-813.points, 79.63, 0.34
test-814.points, 77.28, 0.24
test-815.points, 76.28, 0.08
test-816.points, 69.73, 0.24
test-817.points, 68.45, 0.26
test-818.points, 81.60, 0.25
test-819.points, 65.46, 0.22
test-82.points, 85.70, 0.29
test-820.points, 69.21, 0.54
test-821.points, 73.35, 0.24
test-822.points, 67.48, 0.19
test-823.points, 58.63, 0.18
test-824.points, 67.18, 0.29
test-825.points, 61.69, 0.20
test-826.points, 75.71, 0.52
test-827.points, 66.98, 0.26
test-828.points, 61.82, 0.18
test-829.points, 85.80, 0.43
test-83.points, 57.61, 0.22
test-830.points, 74.51, 0.18
test-831.points, 86.21, 0.27
test-832.points, 65.61, 0.11
test-833.points, 79.36, 0.33
test-834.points, 68.01, 0.17
test-835.points, 74.47, 0.22
test-836.points, 63.79, 0.22
test-837.points, 87.42, 0.21
test-838.points, 80.80, 0.16
test-839.points, 99.33, 0.24
test-84.points, 80.80, 0.26
test-840.points, 79.81, 0.20
test-841.points, 85.27, 1.23
test-842.points, 63.62, 0.11
test-843.points, 93.26, 0.46
test-844.points, 71.43, 0.07
test-845.points, 92.04, 0.49
test-846.points, 78.81, 0.17
test-847.points, 72.36, 0.15
test-848.points, 77.34, 0.40
test-849.points, 86.11, 0.21
test-85.points, 79.71, 0.43
test-850.points, 59.01, 0.24
test-851.points, 75.96, 0.16
test-852.points, 66.93, 0.19
test-853.points, 81.30, 0.22
test-854.points, 62.56, 0.32
test-855.points, 68.42, 0.22
test-856.points, 66.48, 0.28
test-857.points, 64.61, 0.23
test-858.points, 80.48, 0.53
test-859.points, 65.59, 0.19
test-86.points, 72.37, 0.19
test-860.points, 93.23, 0.09
test-861.points, 84.74, 0.32
test-862.points, 62.85, 0.25
test-863.points, 80.29, 0.14
test-864.points, 62.63, 0.25
test-865.points, 66.38, 0.26
test-866.points, 101.77, 0.17
test-867.points, 89.03, 0.20
test-868.points, 71.59, 0.55
test-869.points, 0.11, 0.24
test-87.points, 98.57, 0.34
test-870.points, 101.39, 0.33
test-871.points, 74.96, 0.18
test-872.points, 63.28, 0.29
test-873.points, 91.34, 0.32
test-874.points, 77.31, 0.27
test-875.points, 81.90, 0.09
test-876.points, 66.94, 0.40
test-877.points, 87.49, 0.31
test-878.points, 72.10, 0.13
test-879.points, 85.33, 0.26
test-88.points, 98.58, 0.13
test-880.points, 64.03, 0.18
test-881.points, 62.12, 0.37
test-882.points, 76.07, 0.36
test-883.points, 63.16, 0.22
test-884.points, 65.85, 0.19
test-885.points, 84.23, 0.43
test-886.points, 70.82, 0.18
test-887.points, 81.59, 0.39
test-888.points, 63.92, 0.17
test-889.points, 74.95, 0.12
test-89.points, 98.68, 0.26
test-890.points, 80.92, 0.29
test-891.points, 90.33, 0.13
test-892.points, 84.54, 0.22
test-893.points, 84.05, 0.39
test-894.points, 70.32, 0.20
test-895.points, 71.39, 0.52
test-896.points, 99.64, 0.60
test-897.points, 59.57, 0.17
test-898.points, 90.59, 0.34
test-899.points, 74.97, 0.36
test-9.points, 74.62, 0.35
test-90.points, 65.93, 0.22
test-900.points, 74.35, 0.14
test-901.points, 79.17, 0.50
test-902.points, 73.53, 0.28
test-903.points, 77.86, 0.19
test-904.points, 87.03, 0.14
test-905.points, 71.57, 0.11
test-906.points, 70.46, 0.15
test-907.points, 87.93, 0.14
test-908.points, 70.13, 0.48
test-909.points, 73.68, 0.59
test-91.points, 76.24, 0.28
test-910.points, 78.24, 0.45
test-911.points, 85.83, 0.23
test-912.points, 73.16, 0.17
test-913.points, 82.69, 0.47
test-914.points, 75.48, 0.20
test-915.points, 95.97, 0.23
test-916.points, 74.53, 0.20
test-917.points, 72.91, 0.17
test-918.points, 86.76, 0.41
test-919.points, 74.20, 0.25
test-92.points, 90.73, 0.23
test-920.points, 79.69, 0.19
test-921.points, 79.05, 0.17
test-922.points, 88.07, 0.50
test-923.points, 75.69, 0.24
test-924.points, 73.05, 0.45
test-925.points, 75.36, 0.16
test-926.points, 72.46, 0.16
test-927.points, 69.05, 0.13
test-928.points, 72.64, 0.32
test-929.points, 67.90, 0.30
test-93.points, 77.80, 0.16
test-930.points, 64.72, 0.39
test-931.points, 84.96, 0.23
test-932.points, 80.60, 0.10
test-933.points, 75.97, 0.55
test-934.points, 80.65, 0.14
test-935.points, 60.59, 0.09
test-936.points, 62.55, 0.18
test-937.points, 75.15, 0.23
test-938.points, 77.10, 0.12
test-939.points, 58.71, 0.24
test-94.points, 57.89, 0.38
test-940.points, 80.91, 0.15
test-941.points, 58.90, 0.11
test-942.points, 67.52, 0.32
test-943.points, 82.66, 0.23
test-944.points, 72.70, 0.23
test-945.points, 58.40, 0.12
test-946.points, 58.40, 0.15
test-947.points, 62.94, 0.11
test-948.points, 66.01, 0.35
test-949.points, 60.04, 0.37
test-95.points, 81.96, 0.24
test-950.points, 69.01, 0.23
test-951.points, 80.93, 0.19
test-952.points, 77.19, 0.19
test-953.points, 88.33, 0.15
test-954.points, 72.50, 0.08
test-955.points, 76.68, 0.37
test-956.points, 69.55, 0.12
test-957.points, 58.22, 0.10
test-958.points, 79.77, 0.30
test-959.points, 59.40, 0.20
test-96.points, 69.08, 0.27
test-960.points, 71.11, 0.27
test-961.points, 90.44, 0.10
test-962.points, 64.12, 0.43
test-963.points, 74.49, 0.41
test-964.points, 65.84, 0.35
test-965.points, 66.55, 0.40
test-966.points, 63.16, 0.14
test-967.points, 65.87, 0.26
test-968.points, 72.48, 0.15
test-969.points, 96.81, 0.16
test-97.points, 60.49, 0.27
test-970.points, 83.00, 0.31
test-971.points, 66.09, 0.29
test-972.points, 79.11, 0.21
test-973.points, 68.23, 0.06
test-974.points, 64.86, 0.16
test-975.points, 67.86, 0.30
test-976.points, 80.70, 0.24
test-977.points, 76.63, 0.23
test-978.points, 83.93, 0.32
test-979.points, 86.16, 0.12
test-98.points, 60.14, 0.20
test-980.points, 74.44, 0.26
test-981.points, 68.66, 0.17
test-982.points, 92.47, 0.53
test-983.points, 61.41, 0.19
test-984.points, 62.74, 0.42
test-985.points, 0.63, 0.10
test-986.points, 78.71, 0.18
test-987.points, 72.27, 0.30
test-988.points, 0.18, 0.13
test-989.points, 83.08, 0.15
test-99.points, 79.51, 0.50
test-990.points, 74.53, 0.20
test-991.points, 60.22, 0.46
test-992.points, 83.37, 0.17
test-993.points, 86.14, 0.14
test-994.points, 72.17, 0.14
test-995.points, 82.97, 0.20
test-996.points, 97.28, 0.15
test-997.points, 72.87, 0.12
test-998.points, 85.40, 0.48
test-999.points, 77.52, 0.16
